name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId,revenue_per_copy
Farm Manager World,2024-04-29,14399,19.99,241254.0,20.978020915770703,0,Indie,"Sim Farm S.A.,PlayWay S.A.",Cleversan Games,2206350,16.754913535662197
Turbo Golf Racing,2024-04-04,27537,9.99,240922.0,8.278991424104499,86,Indie,Hugecalf Studios,Hugecalf Studios,1324350,8.749028579729092
Windowkill,2024-02-23,54205,4.99,239666.0,4.033346015712271,97,Indie,torcado,torcado,2726450,4.421474033760723
Bootstrap Island,2024-02-22,11797,24.99,237361.0,4.453969670795021,83,Indie,Maru VR Productions,Maru VR Productions,1942110,20.12045435280156
Idle Hero TD - Tower Defense,2024-05-03,13061,0.0,235863.0,189.0570113996993,79,Indie,Swell Games LLC,Swell Games LLC,2897580,18.05857131919455
Hairdresser Simulator,2024-03-06,14398,19.99,235724.0,7.94368062025551,49,Indie,Frozen Way,GameFormatic S.A.,1330560,16.37199611057091
Maniac,2024-03-28,57155,4.99,235604.0,4.290811596159339,91,Indie,Skystone Games,Transhuman Design,1482380,4.1221940337678245
Nevergrind Online,2024-07-11,27973,15.99,235479.0,43.736640716411806,89,Indie,Neverworks Games,Neverworks Games,853450,8.418081721660172
Zoonomaly,2024-03-06,43112,5.99,232416.0,6.127524221454782,72,Indie,LIGHTS ARE OFF LLC,LIGHTS ARE OFF LLC,2101890,5.390981629244758
Pepper Grinder,2024-03-28,19649,14.99,230628.0,3.0902037504824045,88,AA,Devolver Digital,"Ahr Ech,MP2 Games",2076580,11.737391215837956
